Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),2015-01-01,,35.5527777778,31.8372222222,294.155,Jordan,Arab States,"31.8372222222,35.5527777778"
Citadel of the Ho Dynasty,2011-01-01,,105.604722222,20.0780555556,155.5,Viet Nam,Asia and the Pacific,"20.0780555556,105.604722222"
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,2008-01-01,,-100.746388889,20.9144444444,46.95,Mexico,Latin America and the Caribbean,"20.9144444444,-100.746388889"
Muskauer Park / Park Mużakowski,2004-01-01,,14.72644444,51.57930556,348.0,"Germany,Poland",Europe and North America,"51.57930556,14.72644444"
Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,2012-01-01,,34.9652777778,32.67,54.0,Israel,Europe and North America,"32.67,34.9652777778"
Wooden Churches of the Slovak part of the Carpathian Mountain Area,2008-01-01,,19.5583333333,49.3361111111,2.5644,Slovakia,Europe and North America,"49.3361111111,19.5583333333"
Sydney Opera House,2007-01-01,0.0,151.215277778,-33.8566666667,5.8,Australia,Asia and the Pacific,"-33.8566666667,151.215277778"
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),2002-01-01,,15.06891667,36.89319444,112.79,Italy,Europe and North America,"36.89319444,15.06891667"
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",1997-01-01,,14.48333333,40.75,98.05,Italy,Europe and North America,"40.75,14.48333333"
Hanseatic Town of Visby,1995-01-01,,18.29583,57.64167,0.0,Sweden,Europe and North America,"57.64167,18.29583"
Kronborg Castle,2000-01-01,,12.62083333,56.03889,0.0,Denmark,Europe and North America,"56.03889,12.62083333"
